Condition,ReadCode,CleansedReadCode,Term
Malignant neoplasms,^ESCTNE475635,,Neoplasm of uncertain behavior of submaxillary gland
Malignant neoplasms,B11-1,B11..11,Gastric neoplasm
Malignant neoplasms,^ESCTTU438841,,Tumor of stomach
Malignant neoplasms,^ESCTNE663243,,Neoplasm of uncertain behavior of stomach
Malignant neoplasms,B9020,B902000,Neoplasm of uncertain behaviour of stomach
Malignant neoplasms,^ESCTNE438839,,Neoplasm of stomach
Malignant neoplasms,^ESCTNE404616,,Neoplasm of uncertain behavior of ileum
Malignant neoplasms,^ESCTNE404646,,Neoplasm of uncertain behavior of jejunum
Malignant neoplasms,^ESCTNE404496,,Neoplasm of uncertain behavior of duodenum
Malignant neoplasms,B9023,B902300,Neoplasm of uncertain behaviour of ileum
Malignant neoplasms,B9022,B902200,Neoplasm of uncertain behaviour of jejunum
Malignant neoplasms,B9021,B902100,Neoplasm of uncertain behaviour of duodenum
Malignant neoplasms,^ESCTNE404346,,Neoplasm of uncertain or unknown behavior of appendix
Malignant neoplasms,^ESCTTU438879,,Tumor of large intestine
Malignant neoplasms,^ESCTTU438878,,Tumour of large intestine
Malignant neoplasms,^ESCTNE404343,,Neoplasm of uncertain behaviour of appendix
Malignant neoplasms,^ESCTNE438877,,Neoplasm of large intestine
Malignant neoplasms,^ESCTNE404344,,Neoplasm of uncertain behavior of appendix
Malignant neoplasms,B9026,B902600,Neoplasm of uncertain or unknown behaviour of appendix
Malignant neoplasms,B804z,B804z00,Carcinoma in situ of rectum or rectosigmoid junction NOS
Malignant neoplasms,^ESCTNE404463,,Neoplasm of uncertain behavior of colon
Malignant neoplasms,B9024,B902400,Neoplasm of uncertain behaviour of colon
Malignant neoplasms,^ESCTNE404927,,Neoplasm of uncertain behavior of rectum
Malignant neoplasms,B9025,B902500,Neoplasm of uncertain behaviour of rectum
Malignant neoplasms,BB5D,BB5D.00,[M]Hepatobiliary tract adenomas and carcinomas
Malignant neoplasms,BB5Dz,BB5Dz00,[M]Hepatobiliary adenoma or carcinoma NOS
Malignant neoplasms,BB5D-1,BB5D.11,[M]Biliary tract adenomas and adenocarcinomas
Malignant neoplasms,^ESCTNE475646,,Neoplasm of uncertain behavior of sphincter of Oddi
Malignant neoplasms,^ESCTNE404633,,Neoplasm of uncertain behaviour of intrahepatic bile ducts
Malignant neoplasms,B9033,B903300,Neoplasm of uncertain behaviour of gall bladder
Malignant neoplasms,B9031,B903100,Neoplasm of uncertain behaviour of intra-hepatic bile ducts
Malignant neoplasms,^ESCTNE404634,,Neoplasm of uncertain behavior of intrahepatic bile ducts
Malignant neoplasms,^ESCTNE535554,,Neoplasm of uncertain behavior of biliary system
