Condition,ReadCode,CleansedReadCode,Term
Drug or alcohol misuse,Eu14700,Eu14700,[X]Men & beh dis due cocaine: resid & late-onset psychot dis
Drug or alcohol misuse,Eu15.00,Eu15.00,[X]Mental & behav disorder due other stimulants inc caffein
Drug or alcohol misuse,Eu15100,Eu15100,[X]Ment/behav dis due to use oth stims inc caff: harmful use
Drug or alcohol misuse,Eu15200,Eu15200,[X]Mental and behav dis oth stim inc caffein: dependnce synd
Drug or alcohol misuse,Eu15211,Eu15211,[X]Drug addiction-other stimul
Drug or alcohol misuse,Eu15300,Eu15300,[X]Mnt/behav dis other stimlnts inc caffeine: withdrwl state
Drug or alcohol misuse,Eu15500,Eu15500,[X]Mental/behav dis oth stims inc caffeine: psychotic dis
Drug or alcohol misuse,Eu15700,Eu15700,[X]Mnt/bh dis oth stm inc caffne resid/late-onset psycht dis
Drug or alcohol misuse,Eu15z00,Eu15z00,[X]Ment/beh dis oth stims inc caffeine: unsp ment/behav disd
Drug or alcohol misuse,Eu16.00,Eu16.00,[X]Mental and behavioural disorders due to use hallucinogens
Drug or alcohol misuse,Eu16100,Eu16100,[X]Mental and behav dis due to use hallucinogens: harmfl use
Drug or alcohol misuse,Eu16200,Eu16200,[X]Mental and behav dis due to hallucinogens: dependence syn
Drug or alcohol misuse,Eu16211,Eu16211,[X]Drug addiction - hallucinogen
Drug or alcohol misuse,Eu16300,Eu16300,[X]Mental and behav dis due hallucinogens: withdrawal state
Drug or alcohol misuse,Eu16500,Eu16500,[X]Mental & behav dis due to hallucinogens: psychotic disord
Drug or alcohol misuse,Eu16700,Eu16700,[X]Mnt/bh dis due hallucngns: resid & late-onset psychot dis
Drug or alcohol misuse,Eu16711,Eu16711,[X]Post hallucinogen perception disorder
Drug or alcohol misuse,Eu16z00,Eu16z00,[X]Ment/behav dis due use hallucinogens: unsp ment/behav dis
Drug or alcohol misuse,Eu18.00,Eu18.00,[X]Mental & behav disorders due to use of volatile solvents
Drug or alcohol misuse,Eu18100,Eu18100,[X]Mental and behav dis due volatile solvents: harmful use
Drug or alcohol misuse,Eu18200,Eu18200,[X]Mental and behav dis due to vol solvents: dependence synd
Drug or alcohol misuse,Eu18211,Eu18211,[X]Drug addiction - solvent
Drug or alcohol misuse,Eu18400,Eu18400,[X]Men & beh dis vol solvents: withdrawal state wth delirium
Drug or alcohol misuse,Eu18500,Eu18500,[X]Mental & behav dis due to vol solvents: psychotic disordr
Drug or alcohol misuse,Eu18z00,Eu18z00,[X]Ment/behav dis due use vol solvents: unsp ment/behav dis
Drug or alcohol misuse,Eu19.00,Eu19.00,[X]Men & behav disorder multiple drug use/psychoactive subst
