Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Iron deficiency with and without anaemia,281961000006111,80126007,132937017,^ESCTPA380318,,Kelly - Paterson syndrome
Iron deficiency with and without anaemia,281961000006111,80126007,132937017,D00y-2,D00y.12,Kelly - Paterson syndrome
Iron deficiency with and without anaemia,281961000006111,80126007,132937017,^ESCTPL380321,,Kelly - Paterson syndrome
Iron deficiency with and without anaemia,281961000006111,80126007,132937017,D00y0-2,D00y012,Kelly - Paterson syndrome
Iron deficiency with and without anaemia,281961000006111,80126007,132937017,D00y0,D00y000,Kelly - Paterson syndrome
Iron deficiency with and without anaemia,281961000006111,80126007,132937017,D00y0-1,D00y011,Kelly - Paterson syndrome
Iron deficiency with and without anaemia,219431000006113,80126007,132937017,D00y-1,D00y.11,Plummer - Vinson syndrome
Iron deficiency with and without anaemia,219431000006113,80126007,132937017,^ESCTBR380320,,Plummer - Vinson syndrome
Iron deficiency with and without anaemia,219431000006113,80126007,132937017,^ESCTPA380318,,Plummer - Vinson syndrome
Iron deficiency with and without anaemia,219431000006113,80126007,132937017,D00y-2,D00y.12,Plummer - Vinson syndrome
Iron deficiency with and without anaemia,219431000006113,80126007,132937017,^ESCTPL380321,,Plummer - Vinson syndrome
Iron deficiency with and without anaemia,219431000006113,80126007,132937017,D00y0-2,D00y012,Plummer - Vinson syndrome
Iron deficiency with and without anaemia,219431000006113,80126007,132937017,D00y0,D00y000,Plummer - Vinson syndrome
Iron deficiency with and without anaemia,219431000006113,80126007,132937017,D00y0-1,D00y011,Plummer - Vinson syndrome
Iron deficiency with and without anaemia,132939019,80126007,132939019,D00y-1,D00y.11,Sideropenic dysphagia
Iron deficiency with and without anaemia,132939019,80126007,132939019,^ESCTBR380320,,Sideropenic dysphagia
Iron deficiency with and without anaemia,132939019,80126007,132939019,^ESCTPA380318,,Sideropenic dysphagia
Iron deficiency with and without anaemia,132939019,80126007,132939019,D00y-2,D00y.12,Sideropenic dysphagia
Iron deficiency with and without anaemia,132939019,80126007,132939019,^ESCTPL380321,,Sideropenic dysphagia
Iron deficiency with and without anaemia,132939019,80126007,132939019,D00y0-2,D00y012,Sideropenic dysphagia
Iron deficiency with and without anaemia,132939019,80126007,132939019,D00y0,D00y000,Sideropenic dysphagia
Iron deficiency with and without anaemia,132939019,80126007,132939019,D00y0-1,D00y011,Sideropenic dysphagia
Iron deficiency with and without anaemia,755101000006110,80126007,132937017,D00y-1,D00y.11,Kelly-Paterson syndrome
Iron deficiency with and without anaemia,755101000006110,80126007,132937017,^ESCTBR380320,,Kelly-Paterson syndrome
Iron deficiency with and without anaemia,755101000006110,80126007,132937017,^ESCTPA380318,,Kelly-Paterson syndrome
Iron deficiency with and without anaemia,755101000006110,80126007,132937017,D00y-2,D00y.12,Kelly-Paterson syndrome
Iron deficiency with and without anaemia,755101000006110,80126007,132937017,^ESCTPL380321,,Kelly-Paterson syndrome
Iron deficiency with and without anaemia,755101000006110,80126007,132937017,D00y0-2,D00y012,Kelly-Paterson syndrome
Iron deficiency with and without anaemia,755101000006110,80126007,132937017,D00y0,D00y000,Kelly-Paterson syndrome
Iron deficiency with and without anaemia,755101000006110,80126007,132937017,D00y0-1,D00y011,Kelly-Paterson syndrome
Iron deficiency with and without anaemia,132937017,80126007,132937017,D00y-1,D00y.11,Plummer-Vinson syndrome
Iron deficiency with and without anaemia,132937017,80126007,132937017,^ESCTBR380320,,Plummer-Vinson syndrome
Iron deficiency with and without anaemia,132937017,80126007,132937017,^ESCTPA380318,,Plummer-Vinson syndrome
Iron deficiency with and without anaemia,132937017,80126007,132937017,D00y-2,D00y.12,Plummer-Vinson syndrome
Iron deficiency with and without anaemia,132937017,80126007,132937017,^ESCTPL380321,,Plummer-Vinson syndrome
