Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Ischaemic heart diseases,271166011,175085003,271166011,792C0,792C000,Replacement of coronary arteries using multiple methods
Ischaemic heart diseases,460925019,414531000000101,1001321000000115,ZV579,ZV57900,[V]Cardiac rehabilitation
Ischaemic heart diseases,456363010,312611005,456363010,7A6H4,7A6H400,Percutaneous transluminal angioplasty of vascular graft
Ischaemic heart diseases,238821000006111,11101003,19234014,7928-1,7928.11,Percutaneous balloon coronary angioplasty
Ischaemic heart diseases,264495014,170596004,264495014,662K2,662K200,Angina control - improving
Ischaemic heart diseases,1785743019,397193006,1785743019,79293,7929300,Rotary blade coronary angioplasty
Ischaemic heart diseases,358041000000114,276985008,413389019,7A6S3,7A6S300,Percutaneous transluminal venous thrombolysis NEC
Ischaemic heart diseases,447324018,304914007,447324018,G309,G309.00,Acute Q-wave infarct
Ischaemic heart diseases,272117011,175764006,272117011,7A545,7A54500,Rotary blade angioplasty
Ischaemic heart diseases,271132019,232719007,348647011,79262,7926200,Single anastomosis of thoracic artery to coronary artery NEC
Ischaemic heart diseases,1738171000006114,399211009,2986492018,14AT,14AT.00,History of myocardial infarction
Ischaemic heart diseases,537341000006118,56265001,497557019,G-2,G....12,Cardiac diseases
Ischaemic heart diseases,271169016,232717009,348640013,792D,792D.00,Other bypass of coronary artery
Ischaemic heart diseases,2536354015,36969009,2536354015,79294,7929400,Insertion of coronary artery stent
Ischaemic heart diseases,271082014,232720001,348649014,79211,7921100,Autograft replacement of two coronary arteries NEC
Ischaemic heart diseases,118831000006118,194856005,299808017,G35X,G35X.00,Subsequent myocardial infarction of unspecified site
Ischaemic heart diseases,258969014,166664005,258969014,44H30,44H3000,Cardiac enzymes abnormal - first set
Ischaemic heart diseases,271089017,736971003,3525979012,79220,7922000,Allograft replacement of one coronary artery
Ischaemic heart diseases,59952018,35928006,59952018,G3300,G330000,Nocturnal angina
Ischaemic heart diseases,108561012,65340007,108561012,G341,G341.00,Aneurysm of heart
Ischaemic heart diseases,208365015,129574000,208365015,G38,G38..00,Postoperative myocardial infarction
Ischaemic heart diseases,144819018,87343002,1235225010,G331-1,G331.11,Variant angina pectoris
Ischaemic heart diseases,299813018,194856005,299808017,G353,G353.00,Subsequent myocardial infarction of other sites
Ischaemic heart diseases,1752201000000116,704207005,3010438013,187,187..00,Frequency of angina
Ischaemic heart diseases,1547661000006114,429639007,2694928017,793G2,793G200,Perc translum balloon angioplasty insert 1-2 stents cor art
Ischaemic heart diseases,264500012,170601008,264500012,662N,662N.00,CHD monitoring
Ischaemic heart diseases,977801000006117,166741000000109,226801000000110,662n,662n.00,JBS cardiovascular disease risk >30% over next 10 years
Ischaemic heart diseases,271093011,736972005,3525981014,79222,7922200,Allograft replacement of three coronary arteries
Ischaemic heart diseases,2675878019,426485003,2675878019,7A547,7A54700,Percutaneous transluminal thrombolysis of artery
Ischaemic heart diseases,271087015,175021005,271087015,7922-1,7922.11,Allograft bypass of coronary artery
Ischaemic heart diseases,256452010,164865005,256452010,323,323..00,ECG: myocardial infarction
Ischaemic heart diseases,405092018,232719007,348647011,79253,7925300,Single anastomosis of mammary artery to coronary artery NEC
Ischaemic heart diseases,411160017,275216000,411160017,79253-2,7925312,RIMA single anastomosis
Ischaemic heart diseases,2474304012,412747004,2474304012,5C11,5C11.00,Radionuclide heart study abnormal
Ischaemic heart diseases,311461000000116,203741000000101,311461000000116,79295,7929500,Insertion of drug-eluting coronary artery stent
Ischaemic heart diseases,457285013,313395003,457285013,8F9,8F9..00,Cardiac rehabilitation
Ischaemic heart diseases,1547311000006116,707828002,3032475016,79283,7928300,Percut translum cutting balloon angioplasty coronary artery
Ischaemic heart diseases,116992017,70422006,116992017,G307,G307.00,Acute subendocardial infarction
Ischaemic heart diseases,2159819017,1026411000000101,2603861000000111,44HJ,44HJ.00,Plasma creatinine phosphokinase MB isoenzyme level
Ischaemic heart diseases,810811000006116,161502000,251675010,14A3,14A3.00,H/O: myocardial infarct <60
Ischaemic heart diseases,271115018,175045009,271115018,7925-1,7925.11,Creation of bypass from mammary artery to coronary artery
Ischaemic heart diseases,1548401000006112,428068004,2696045014,7A560,7A56000,Percutaneous transluminal arterial thrombolysis reconstruct
Ischaemic heart diseases,159001000006119,194867006,299823010,G365,G365.00,Rupture papillary muscle/curr comp fol acute myocard infarct
Ischaemic heart diseases,494260016,25106000,42087013,G311-2,G311.12,Impending infarction
Ischaemic heart diseases,537751000006115,233847009,350383019,G30-3,G30..13,Cardiac rupture following myocardial infarction (MI)
Ischaemic heart diseases,212091000006110,129574000,208365015,G383,G383.00,Postoperative transmural myocardial infarction unspec site
Ischaemic heart diseases,39111000006114,414545008,2534663012,G31,G31..00,Other acute and subacute ischaemic heart disease
Ischaemic heart diseases,1221061012,14201006,1221061012,79275,7927500,Open angioplasty of coronary artery
Ischaemic heart diseases,271102010,736962007,3525944010,79233,7923300,Prosthetic replacement of four or more coronary arteries
Ischaemic heart diseases,1547631000006117,429639007,2694928017,793G,793G.00,Perc translumin balloon angioplasty stenting coronary artery
Ischaemic heart diseases,1547691000006118,429639007,2694928017,793Gz,793Gz00,Perc translum balloon angioplasty stenting coronary art NOS
Ischaemic heart diseases,350350014,233821000,350350014,G33z6,G33z600,New onset angina
Ischaemic heart diseases,299834013,414545008,2534664018,G3y,G3y..00,Other specified ischaemic heart disease
Ischaemic heart diseases,216191012,134385008,216191012,8I3A,8I3A.00,Referral to dietician declined
Ischaemic heart diseases,2534218019,413756001,2534218019,8I3a,8I3a.00,Cardiac rehabilitation declined
Ischaemic heart diseases,299709018,54329005,1231324017,G301z,G301z00,Anterior myocardial infarction NOS
