Condition,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,OriginalReadCode,CleansedReadCode,Term
Cerebrovascular disease,543141000006110.0,20059004,33759015.0,G6X,G6X..00,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
Cerebrovascular disease,370701000006118.0,20059004,33759015.0,Gyu63,Gyu6300,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
Cerebrovascular disease,300941014.0,432504007,2770034014.0,Gyu64,Gyu6400,[X]Other cerebral infarction
Cerebrovascular disease,426321000006116.0,195239002,300403014.0,Gyu6C,Gyu6C00,"[X]Sequelae of stroke,not specfd as h'morrhage or infarction"
Cerebrovascular disease,370661000006114.0,125081000119106,3042974014.0,Gyu6G,Gyu6G00,[X]Cereb infarct due unsp occlus/stenos precerebr arteries
Cerebrovascular disease,605481000006110.0,275434003,411416011.0,L440-1,L440.11,CVA - cerebrovascular accident in the puerperium
Cerebrovascular disease,411416011.0,275434003,411416011.0,L440-2,L440.12,Stroke in the puerperium
Cerebrovascular disease,1227591017.0,275526006,2476091017.0,ZV125-1,ZV12511,[V]Personal history of stroke
Cerebrovascular disease,1227592012.0,266995000,397829016.0,ZV125-2,ZV12512,[V]Personal history of cerebrovascular accident (CVA)
Systemic connective tissue disorders,2534171012.0,414341000,2534171012.0,G755,G755.00,Giant cell arteritis
Systemic connective tissue disorders,1787109017.0,400130008,1787109017.0,G7550,G755000,Cranial arteritis
Systemic connective tissue disorders,1779388019.0,400130008,1779388019.0,G7551,G755100,Temporal arteritis
Systemic connective tissue disorders,1787110010.0,400130008,1787110010.0,G7552,G755200,Horton's disease
Systemic connective tissue disorders,300584016.0,414341000,2534171012.0,G755z,G755z00,Giant cell arteritis NOS
Systemic connective tissue disorders,359513016.0,239938009,359513016.0,N200,N200.00,Giant cell arteritis with polymyalgia rheumatica
Systemic connective tissue disorders,312576015.0,414341000,2534171012.0,Nyu41,Nyu4100,[X]Other giant cell arteritis
Other forms of heart disease,1488804017.0,395105005,1488804017.0,1O1,1O1..00,Heart failure confirmed
Other forms of heart disease,1165041000000115.0,521691000000100,1165041000000115.0,21264,2126400,Heart failure resolved
Other forms of heart disease,833381000006119.0,762994006,3637504017.0,388D,388D.00,New York Heart Assoc classification heart failure symptoms
Other forms of heart disease,2616470012.0,420300004,2616470012.0,662f,662f.00,New York Heart Association Classification - Class I
Other forms of heart disease,2616471011.0,421704003,2616471011.0,662g,662g.00,New York Heart Association Classification - Class II
Other forms of heart disease,2616472016.0,420913000,2616472016.0,662h,662h.00,New York Heart Association Classification - Class III
Other forms of heart disease,2616473014.0,422293003,2616473014.0,662i,662i.00,New York Heart Association Classification - Class IV
Other forms of heart disease,1784061000006118.0,789621000000105,1765351000000114.0,8CeC,8CeC.00,Preferred place of care for next exacerbation heart failure
Other forms of heart disease,2205951000000116.8,851521000000102,2205951000000116.8,8CMW8,8CMW800,Heart failure clinical pathway
Other forms of heart disease,139061000000114.0,717181000000106,1569721000000116.0,9h11,9h11.00,Excepted from LVD quality indicators: Patient unsuitable
Other forms of heart disease,139071000000119.0,717281000000100,1569821000000111.0,9h12,9h12.00,Excepted from LVD quality indicators: Informed dissent
Other forms of heart disease,1561941000006119.0,717481000000104,1570021000000117.0,9hH0,9hH0.00,Excepted heart failure quality indicators: Patient unsuitabl
Other forms of heart disease,1561951000006117.0,717491000000102,1570031000000115.0,9hH1,9hH1.00,Excepted heart failure quality indicators: Informed dissent
Other forms of heart disease,2548316014.0,417359009,2548316014.0,9N2p,9N2p.00,Seen by community heart failure nurse
Other forms of heart disease,303361000000111.0,200171000000102,303361000000111.0,9N6T,9N6T.00,Referred by heart failure nurse specialist
Other forms of heart disease,72934016.0,43736008,72934016.0,G1yz1,G1yz100,Rheumatic left ventricular failure
Hypertensive diseases,728671000006119.0,83105008,1236017010.0,G2101,G210100,Malignant hypertensive heart disease with CCF
Hypertensive diseases,504901000006118.0,194767001,299653017.0,G2111,G211100,Benign hypertensive heart disease with CCF
Other forms of heart disease,741681000006111.0,64715009,107545013.0,G21z1,G21z100,Hypertensive heart disease NOS with CCF
Other forms of heart disease,741701000006114.0,194779001,299672017.0,G232,G232.00,Hypertensive heart&renal dis wth (congestive) heart failure
Other forms of heart disease,789941000006117.0,194781004,299674016.0,G234,G234.00,Hyperten heart&renal dis+both(congestv)heart and renal fail
Other forms of heart disease,132655012.0,79955004,132655012.0,G41z-1,G41z.11,Chronic cor pulmonale
Other forms of heart disease,1778488011.0,399020009,1778488011.0,G5540,G554000,Congestive cardiomyopathy
Other forms of heart disease,350413012.0,233871002,350413012.0,G5540-1,G554011,Congestive obstructive cardiomyopathy
Other forms of heart disease,139475013.0,84114007,139475013.0,G58,G58..00,Heart failure
Other forms of heart disease,139482012.0,84114007,139482012.0,G58-1,G58..11,Cardiac failure
Other forms of heart disease,70653017.0,42343007,70653017.0,G580,G580.00,Congestive heart failure
Other forms of heart disease,493287011.0,42343007,70653017.0,G580-1,G580.11,Congestive cardiac failure
Other forms of heart disease,206703015.0,128404006,206703015.0,G580-2,G580.12,Right heart failure
Other forms of heart disease,490972013.0,367363000,490972013.0,G580-3,G580.13,Right ventricular failure
Other forms of heart disease,510016018.0,92506005,153058012.0,G580-4,G580.14,Biventricular failure
Other forms of heart disease,147247018.0,88805009,147247018.0,G5801,G580100,Chronic congestive heart failure
Other forms of heart disease,300179017.0,195111005,300179017.0,G5802,G580200,Decompensated cardiac failure
Other forms of heart disease,300180019.0,195112003,300180019.0,G5803,G580300,Compensated cardiac failure
Other forms of heart disease,2675255018.0,426611007,2675255018.0,G5804,G580400,Congestive heart failure due to valvular disease
Other forms of heart disease,141306010.0,85232009,141306010.0,G581,G581.00,Left ventricular failure
Other forms of heart disease,1495417010.0,71892000,119456014.0,G581-1,G581.11,Asthma - cardiac
Other forms of heart disease,411506018.0,275514001,411506018.0,G581-3,G581.13,Impaired left ventricular function
Other forms of heart disease,1816101000006112.8,367363000,490972013.0,G584,G584.00,Right ventricular failure
Other forms of heart disease,395772015.0,84114007,139475013.0,G58z,G58z.00,Heart failure NOS
Other forms of heart disease,223981000000118.0,84114007,139482012.0,G58z-2,G58z.12,Cardiac failure NOS
Other forms of heart disease,216207010.0,134401001,216207010.0,G5yy9,G5yy900,Left ventricular systolic dysfunction
Other forms of heart disease,1489358014.0,395704004,1489358014.0,G5yyA,G5yyA00,Left ventricular diastolic dysfunction
Other forms of heart disease,1478969019.0,384642005,1478969019.0,7910-1,7910.11,Mitral valvuloplasty
