,Condition,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,OriginalReadCode,Term,CleansedReadCode
116,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A150,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
117,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A414,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
118,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A415,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
119,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A416,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
120,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A47D,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
121,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,^ESCTAR427147,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
122,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,^ESCTCR427152,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
123,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,^ESCTCR427149,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
124,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,^ESCTCR427151,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
125,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,^ESCTCR427148,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
126,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A333,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
127,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A40y,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
128,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A164,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
129,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,^ESCTBY427150,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
130,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A16,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
131,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A332,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
132,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A41y,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
133,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A41z,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
134,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A330,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
135,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A331,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
136,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A16y,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
137,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A16z,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
138,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A143,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
139,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A40A,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
140,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A151,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
141,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A40z,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
142,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A522,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
143,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A523,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
144,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A47z,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
145,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A160,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
146,"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008.0,183983017.0,7A47C,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC,7A14100
147,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A47-4,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
148,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A47-3,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
149,"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008.0,183983017.0,7A47-2,Replace aneurys suprarenal aorta by anast aorta to aorta NEC,7A14200
