Condition,MedCode,Term
Ischaemic heart diseases,311461000000116,Insertion of drug-eluting coronary artery stent
Ischaemic heart diseases,457285013,Cardiac rehabilitation
Ischaemic heart diseases,1547311000006116,Percut translum cutting balloon angioplasty coronary artery
Ischaemic heart diseases,116992017,Acute subendocardial infarction
Ischaemic heart diseases,2159819017,Plasma creatinine phosphokinase MB isoenzyme level
Ischaemic heart diseases,810811000006116,H/O: myocardial infarct <60
Ischaemic heart diseases,271115018,Creation of bypass from mammary artery to coronary artery
Ischaemic heart diseases,1548401000006112,Percutaneous transluminal arterial thrombolysis reconstruct
Ischaemic heart diseases,159001000006119,Rupture papillary muscle/curr comp fol acute myocard infarct
Ischaemic heart diseases,494260016,Impending infarction
Ischaemic heart diseases,537751000006115,Cardiac rupture following myocardial infarction (MI)
Ischaemic heart diseases,212091000006110,Postoperative transmural myocardial infarction unspec site
Ischaemic heart diseases,39111000006114,Other acute and subacute ischaemic heart disease
Ischaemic heart diseases,1221061012,Open angioplasty of coronary artery
Ischaemic heart diseases,271102010,Prosthetic replacement of four or more coronary arteries
Ischaemic heart diseases,1547631000006117,Perc translumin balloon angioplasty stenting coronary artery
Ischaemic heart diseases,1547691000006118,Perc translum balloon angioplasty stenting coronary art NOS
Ischaemic heart diseases,350350014,New onset angina
Ischaemic heart diseases,299834013,Other specified ischaemic heart disease
Ischaemic heart diseases,216191012,Referral to dietician declined
Ischaemic heart diseases,2534218019,Cardiac rehabilitation declined
Ischaemic heart diseases,299709018,Anterior myocardial infarction NOS
Ischaemic heart diseases,299765010,Angina pectoris NOS
Ischaemic heart diseases,32122016,Status anginosus
Ischaemic heart diseases,271170015,Other specified other bypass of coronary artery
Ischaemic heart diseases,2537483013,Chronic coronary insufficiency
Ischaemic heart diseases,300886011,[X]Other forms of heart disease
Ischaemic heart diseases,1780444014,Coronary heart disease monitoring 1st letter
Ischaemic heart diseases,268001000006119,OC check - 3rd call
Ischaemic heart diseases,1658331000000113,On psychotropic medication
Ischaemic heart diseases,305121000000119,Substance misuse management stopped - self withdrawal
Ischaemic heart diseases,420056011,Helicobacter eradication therapy
Ischaemic heart diseases,2159923012,Drug monitoring done
Ischaemic heart diseases,2533409013,Oral vitamin K prophylaxis given by health visitor
Ischaemic heart diseases,2339611000000110,Mixed strength methotrexate prescribing warning
Ischaemic heart diseases,2155381000000118,Needs assistance with medication regimen adherence
Ischaemic heart diseases,1596601000000114,Long term dual antiplatelet drug therapy indicated
Ischaemic heart diseases,2548858016,Prescription collected by pharmacy
Ischaemic heart diseases,1488739013,Medication review done by pharmacist
Ischaemic heart diseases,300874013,[X]Other forms of angina pectoris
Ischaemic heart diseases,406961000000113,Coronary heart disease monitoring telephone invite
Ischaemic heart diseases,732801000000119,Cardiac troponin positive
Ischaemic heart diseases,259228016,Serum cholesterol borderline
Ischaemic heart diseases,89731000006112,Transluminal balloon angioplasty of coronary artery OS
Ischaemic heart diseases,494438016,Subendocardial ischaemia
Ischaemic heart diseases,161481000006112,Saphenous vein graft replacement of coronary artery OS
Ischaemic heart diseases,299718016,Other acute myocardial infarction
Ischaemic heart diseases,458410010,Post infarct angina
Ischaemic heart diseases,2534674015,Chronic myocardial ischaemia
Ischaemic heart diseases,338974012,Ischaemic chest pain
Ischaemic heart diseases,271079016,Saphenous vein graft replacement coronary artery NOS
Ischaemic heart diseases,241791000006111,Patient misunderstood treatment instuctions
Ischaemic heart diseases,1488440011,Coronary heart disease medication review
Ischaemic heart diseases,36036010,Syncope anginosa
Ischaemic heart diseases,459859010,Asymptomatic coronary heart disease
Ischaemic heart diseases,299804015,Other specified chronic ischaemic heart disease NOS
Ischaemic heart diseases,299745015,Acute coronary insufficiency
Ischaemic heart diseases,1780518012,Coronary heart disease monitoring check done
Ischaemic heart diseases,271168012,Replacement of coronary artery NOS
Ischaemic heart diseases,299800012,Other specified chronic ischaemic heart disease
Ischaemic heart diseases,1218860015,Acute papillary muscle infarction
Ischaemic heart diseases,271104011,Prosthetic replacement of coronary artery NOS
Ischaemic heart diseases,264497018,Angina control NOS
Ischaemic heart diseases,1229885017,Microinfarction of heart
Ischaemic heart diseases,455423016,"Postoperative myocardial infarction, unspecified"
Ischaemic heart diseases,271113013,Revision of bypass for coronary artery NOS
Ischaemic heart diseases,1780446011,Coronary heart disease monitoring 3rd letter
Ischaemic heart diseases,299805019,Other chronic ischaemic heart disease NOS
Ischaemic heart diseases,21591000000117,Oral contracept. check admin.
Ischaemic heart diseases,1484939014,Coronary heart disease monitoring administration
Ischaemic heart diseases,299763015,Angina decubitus NOS
Ischaemic heart diseases,459488019,Transient myocardial ischaemia
Ischaemic heart diseases,271096015,Allograft replacement of coronary artery NOS
Ischaemic heart diseases,449302011,Referral to cardiac rehabilitation nurse
Ischaemic heart diseases,451799015,Refer to audiologist
Ischaemic heart diseases,300239017,Heart disease NOS
Ischaemic heart diseases,1547681000006116,OS perc translumina balloon angioplast stenting coronary art
Ischaemic heart diseases,267991000006112,OC check - 2nd call
Ischaemic heart diseases,1780517019,Coronary heart disease monitoring default
Ischaemic heart diseases,350348018,Stable angina
Ischaemic heart diseases,299721019,Acute myocardial infarction NOS
Ischaemic heart diseases,300237015,Other ill-defined heart disease NOS
Ischaemic heart diseases,300882013,[X]Subsequent myocardial infarction of unspecified site
Ischaemic heart diseases,299741012,Preinfarction syndrome NOS
Ischaemic heart diseases,300879015,[X]Other forms of chronic ischaemic heart disease
Ischaemic heart diseases,300959012,[X]Atherosclerosis of other arteries
Ischaemic heart diseases,271112015,Other specified revision of bypass for coronary artery
Ischaemic heart diseases,271095016,Other specified allograft replacement of coronary artery
Ischaemic heart diseases,271128013,Connection of mammary artery to coronary artery NOS
Ischaemic heart diseases,299790012,Aneurysm of heart NOS
Ischaemic heart diseases,1780447019,Coronary heart disease monitoring verbal invitation
Ischaemic heart diseases,300876010,[X]Other forms of acute ischaemic heart disease
Ischaemic heart diseases,271086012,Other autograft replacement of coronary artery NOS
Ischaemic heart diseases,300197013,Other specified heart disease
Ischaemic heart diseases,517391000006119,Blood dis.- initial assessment
Ischaemic heart diseases,2548238014,Cardiovascular disease interim monitoring
Ischaemic heart diseases,299719012,Acute atrial infarction
Ischaemic heart diseases,1780442013,Attends coronary heart disease monitoring
Ischaemic heart diseases,271167019,Other specified replacement of coronary artery
Ischaemic heart diseases,299758019,Stenocardia
Ischaemic heart diseases,267981000006114,OC check - 1st call
Ischaemic heart diseases,90731000000111,Refuses coronary heart disease monitoring
Ischaemic heart diseases,589721000006114,Connection of mammary artery to coronary artery OS
Ischaemic heart diseases,362461000006119,[X]Acute transmural myocardial infarction of unspecif site
Ischaemic heart diseases,36861000006113,Other autograft replacement of coronary artery OS
Ischaemic heart diseases,1234306015,Acute septal infarction
Ischaemic heart diseases,299750014,Other acute and subacute ischaemic heart disease NOS
Ischaemic heart diseases,271148018,Transluminal balloon angioplasty of coronary artery NOS
Ischaemic heart diseases,299723016,Other acute and subacute ischaemic heart disease
Ischaemic heart diseases,271135017,Connection of other thoracic artery to coronary artery NOS
Ischaemic heart diseases,264790017,Blood disorder monitoring
Ischaemic heart diseases,2549758019,Cardiovascular disease monitoring
Ischaemic heart diseases,300238013,Other heart disease NOS
Ischaemic heart diseases,1885981000006112,Chronic obstructive pulmon dis wr self managem plan declined
Ischaemic heart diseases,2210251000000115,Referral to Angina Plan self-management programme declined
Ischaemic heart diseases,1676741000000119,Tuberculosis screening chest X-ray declined
Ischaemic heart diseases,1741251000006118,DTaP/IPV/Hib immunisation declined
Ischaemic heart diseases,394541000006112,[X]Ischaemic heart diseases
Ischaemic heart diseases,285637014,OC check - call deleted
Ischaemic heart diseases,1780445010,Coronary heart disease monitoring 2nd letter
Ischaemic heart diseases,299720018,Other acute myocardial infarction NOS
Ischaemic heart diseases,299835014,Ischaemic heart disease NOS
Ischaemic heart diseases,271171016,Other bypass of coronary artery NOS
Ischaemic heart diseases,442204010,Angina on effort
Ischaemic heart diseases,1774801000000114,Coronary heart disease care plan
Ischaemic heart diseases,1780184010,Head injury advice given
Ischaemic heart diseases,307741000000117,Health care services information leaflet given
Ischaemic heart diseases,567231000000118,Advised to contact surgery for test result
Ischaemic heart diseases,482941000006119,Angina pectoris NOS
