Condition,MedCode,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289799010,Diffuse non-Hodgkin's small cell (diffuse) lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289801013,Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",621041000006116,Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1219545019,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",621071000006112,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289812013,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",414252013,Mucosa-associated lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",414253015,Maltoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1668101000000112,Diffuse non-Hodgkin's large cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289813015,Other types of follicular non-Hodgkin's lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",451429010,Follicular non-Hodgkin's lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",763421000006116,Follicular lymphoma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",444799014,Diffuse non-Hodgkin's centroblastic lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",198006010,Diffuse large B-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815131000006111,Extranod marg zone B-cell lymphom mucosa-assoc lymphoid tiss
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2870725010,Mediastinal (thymic) large B-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",82041000006113,Unspecified B-cell non-Hodgkin's lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",621091000006113,"Diffuse non-Hodgkin's lymphoma, unspecified"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815151000006116,Follicular lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815161000006119,Follicular lymphoma grade 1
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815171000006114,Follicular lymphoma grade 2
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815181000006112,Follicular lymphoma grade 3
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2124491000000112,Follicular lymphoma grade 3a
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2124511000000116,Follicular lymphoma grade 3b
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2901912012,Diffuse follicle centre lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815221000006115,Cutaneous follicle centre lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1815231000006116,Other types of follicular lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",207325017,T/NK-cell lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2168491000000112,"Anaplastic large cell lymphoma, ALK-positive"
